z_seed,hp_seed,pre_mle_cost,post_mle_cost,train_nrmse,test_nrmse,train_nlpd,test_nlpd,iters,best_iter,opt_time,result_file
227,1,0.031506084,0.010742754,4.310397059,3.767220303,-2.128659725,-2.326384783,1050,1050,22.5465583,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-1.json
227,10,0.140043482,0.013042632,4.894096404,4.893807322,-0.875550389,-0.739093244,4850,4850,35.1508738,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-10.json
227,46,0.065543294,0.016494969,3.275269642,2.899719775,-1.151648283,-1.363677263,1050,1050,24.1189598,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-46.json
227,91,0.075717025,0.047565807,4.903130606,4.213539511,2.001107931,1.239310503,1550,1550,24.9822555,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-91.json
227,137,0.107630387,0.015397217,4.972374439,5.845562369,-1.325853705,-1.267063856,1650,1650,24.4895574,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-137.json
227,182,0.836565375,0.017637104,4.721817002,4.424659908,-0.559982061,0.033347916,6800,6800,38.434783,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-182.json
227,227,0.06506642,0.020665726,4.858281463,5.265521258,-0.291221797,-0.738145113,5850,5850,36.1461192,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-227.json
227,273,0.038246281,0.018265434,4.265631363,4.107210413,-1.025816679,-1.016984224,1050,1050,23.4713946,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-273.json
227,318,0.060216065,0.015922293,8.926969022,8.602547646,-0.943210244,-1.13654542,11800,11800,52.1920858,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-318.json
227,363,0.030812429,0.017218957,2.715215459,2.45235227,-3.201430082,-3.280607939,1050,1050,25.5653644,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-363.json
227,409,0.043731418,0.031741042,6.32904321,7.177514583,0.158629432,-0.031305116,1050,1050,23.7999911,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-409.json
227,454,0.112674557,0.014474297,5.845228583,5.59400022,-1.843392491,-2.508631468,10250,10250,49.3157915,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-454.json
227,500,0.058696784,0.0195101,2.691512555,2.313762531,-1.29623723,-0.700692058,3050,3050,28.8850407,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-500.json
227,1234,0.025056999,0.018451618,17.63925105,16.95095152,0.403988451,0.236946583,1050,1050,23.3898787,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-227_seed_hp-1234.json
273,1,0.031256087,0.014567848,5.019495264,4.501701146,-0.660328567,-0.829806924,1050,1050,23.9606765,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-1.json
